Season,Team Name,March Madness,Sweet Sixteen,Elite Eight,Final Four,Championship,Champions,Color,Location,,,
2019,Bradley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,North Carolina Central,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,North Dakota State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2019,Gonzaga,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,blue,West,,,
2019,Michigan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2019,Texas Tech,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,red,South,,,
2019,Florida State,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Marquette,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2019,Buffalo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2019,Nevada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2019,Syracuse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,East,,,
2019,Baylor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,South,,,
2019,Florida,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Arizona State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,West,,,
2019,St. John's,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Murray State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Vermont,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,East,,,
2019,Northern Kentucky,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2019,Montana,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2019,Fairleigh Dickinson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2019,Prairie View A&M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,South,,,
2019,Virginia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,orange,South,,,
2019,Tennessee,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2019,Purdue,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2019,Kansas State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,Midwest,,,
2019,Wisconsin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,Villanova,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2019,Cincinnati,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,Ole Miss,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Oklahoma,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Iowa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2019,Saint Mary's,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Oregon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,green,West,,,
2019,UC Irvine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2019,Old Dominion,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Colgate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2019,Gardner–Webb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,North Carolina,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Kentucky,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,blue,South,,,
2019,Houston,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Kansas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2019,Auburn,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,blue,South,,,
2019,Iowa State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,Wofford,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,South,,,
2019,Utah State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2019,Washington,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,West,,,
2019,Seton Hall,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2019,Ohio State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,New Mexico State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,West,,,
2019,Northeastern,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,East,,,
2019,Georgia State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Abilene Christian,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,South,,,
2019,Iona,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2018,Virginia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2018,Cincinnati,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2018,Tennessee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2018,Arizona,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
